Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
8;1001488;Поступление зарплаты на счет;Ремонт;1;0.37;мужской;2;0;высшее;специалист;>250;0;14;26;Другое;ОАО;женат / замужем;0;0;0;0;0;0.2352941176;0;1;0;0;1;3;0;13;3;1;0;3;11;1;0;0;0;0;0;0
8;1001508;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.44;мужской;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001528;Форма банка (без печати работодателя);Ремонт;1;0.32;мужской;1;0;среднее-специальное;вспомогательный персонал;< 50;0;68;47;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001548;Форма банка (без печати работодателя);Ремонт;1;0.18;женский;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0;6;33;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001568;Поступление зарплаты на счет;Другое;0;0.24;мужской;2;0;высшее;специалист;>250;1;79;44;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001588;Форма банка (без печати работодателя);Ремонт;1;0.22;мужской;0;0;среднее;рабочий;< 50;0;171;53;Торговля;ООО;холост / не замужем;1;1;0;0;0;0.0120481928;1;0;0;0;0;1;2;82;3;1;2;22;92;1;0;0;0;0;0;0
8;1001608;2НДФЛ;Ремонт;1;0.22;женский;1;0;высшее;менеджер среднего звена;>250;3;66;52;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001628;Форма банка (без печати работодателя);Ремонт;1;0.53;женский;0;0;высшее;специалист;>250;0;27;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001648;2НДФЛ;Ремонт;0;0.29;мужской;0;0;среднее-специальное;специалист;>250;1;382;52;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001668;Поступление зарплаты на счет;Покупка мебели;0;0.56;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;34;25;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.0526315789;0;0;0;0;1;3;0;54;3;2;0;8;27;1;0;0;0;0;0;0
8;1001688;Форма банка (без печати работодателя);Покупка автомобиля;1;0.54;мужской;0;0;высшее;специалист;>250;0;92;31;Другое;ОАО;холост / не замужем;1;1;1;0;0;0.2042253521;0;0;0;0;0.2857142857;2;5;113;7;1;1;11;80;1;1;0;0;0;0;0
8;1001708;2НДФЛ;Покупка недвижимости/ строительство;0;0.15;мужской;1;0;высшее;менеджер среднего звена;< 50;0;8;35;Торговля;Иная форма;холост / не замужем;3;3;3;3;2;0;0;0;0;0;0;0;2;42;2;0;2;32;45;0;0;0;0;0;0;0
8;1001728;Форма банка (без печати работодателя);Ремонт;1;0.59;мужской;0;0;высшее;вспомогательный персонал;>250;0;56;47;Торговля;ООО;холост / не замужем;2;2;0;0;0;0;0;0;0;0;0.8333333333;5;1;164;6;0;0;9;72;0;0;0;0;0;0;0
8;1001748;2НДФЛ;Ремонт;1;0.39;мужской;0;0;среднее-специальное;рабочий;>250;1;205;37;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
